Arsenal,1.58,1.24
Aston Villa,1.16,1.29
Brentford,1.26,1.29
Brighton,1.21,1.2
Burnley,1.03,1.49
Chelsea,1.77,0.95
Crystal Palace,1.22,1.08
Everton,1.13,1.43
Leeds United,1.24,1.85
Leicester City,1.34,1.6
Liverpool,2.35,0.9
Manchester City,2.34,0.71
Manchester Utd,1.44,1.44
Newcastle Utd,1.06,1.46
Norwich City,0.88,2.03
Southampton,1.23,1.54
Tottenham,1.71,1.04
Watford,1.02,1.75
West Ham,1.31,1.34
Wolves,0.95,1.59
